checked_at,origin,destination,date,price,currency
2026-06-30 13:42 UTC,CWB,CGH,2026-07-28,50,USD
2026-06-30 13:42 UTC,CWB,GRU,2026-07-28,52,USD
2026-06-30 13:42 UTC,NVT,GRU,2026-07-29,55,USD
2026-06-30 13:42 UTC,NVT,CGH,2026-07-07,63,USD
2026-06-30 13:42 UTC,CWB,VCP,2026-07-28,64,USD
2026-06-30 13:42 UTC,NVT,VCP,2026-08-05,69,USD
